Date,Close,High,Low,Open,Volume
2017/1/25,1223.608521,1233.50457,1216.817163,1231.17608,3318500
2017/1/26,1231.952393,1236.02716,1221.086149,1229.623903,2806500
2017/1/27,1232.728271,1245.922884,1232.146179,1241.071915,2538500
2017/1/30,1240.102051,1242.43054,1226.519333,1227.683637,2260000
2017/1/31,1200.517822,1215.45883,1176.068868,1212.74224,10387500
2017/2/1,1204.592896,1205.369098,1188.487698,1192.756576,4682500
2017/2/2,1193.532593,1204.592828,1191.398213,1203.428642,3786000
2017/2/3,1199.935913,1207.309363,1195.278935,1196.055137,2427500
2017/2/6,1195.4729,1209.637826,1190.427939,1208.667632,2899000
2017/2/7,1193.338623,1201.682268,1186.159164,1201.294166,3458000
2017/2/8,1190.816162,1196.637326,1185.577091,1195.279031,2968000
2017/2/9,1187.129028,1191.786006,1181.113875,1190.233719,4106500
2017/2/10,1209.44397,1214.683042,1193.920864,1199.742028,4426000
2017/2/13,1226.713135,1229.817708,1213.712513,1222.444258,3436000
2017/2/14,1210.414063,1229.623952,1209.443868,1227.101471,2643000
2017/2/15,1217.2052,1225.548844,1211.190046,1224.384658,2234500
2017/2/16,1205.562988,1220.503999,1203.6226,1217.205316,2204500
2017/2/17,1216.817139,1218.951636,1203.234424,1205.757023,2419500
2017/2/20,1225.743042,1231.758197,1214.294706,1216.817187,3081000
2017/2/21,1227.29541,1232.534481,1218.951765,1224.190837,2763500
2017/2/22,1228.071655,1233.504718,1223.802778,1228.847739,1866000
2017/2/23,1231.370239,1237.385513,1228.071674,1231.564349,1915000
2017/2/24,1233.698486,1236.803178,1224.57864,1231.564107,2506500
2017/2/27,1227.101318,1235.638954,1222.44434,1230.399883,2609000
2017/2/28,1224.772949,1238.743767,1223.996747,1230.594113,3014500
2017/3/1,1229.041504,1236.803054,1223.026232,1231.757975,2435500
2017/3/2,1232.922729,1240.102071,1227.489548,1235.833312,2560500
2017/3/3,1233.698486,1238.161354,1228.653526,1233.116394,2759000
2017/3/6,1228.265625,1236.997371,1225.937136,1234.086789,2058500
2017/3/7,1234.08667,1234.474771,1226.325119,1228.265506,2238500
2017/3/8,1236.414795,1236.802896,1230.593633,1232.145919,2598000
2017/3/9,1241.654053,1243.40033,1237.191067,1239.907657,2318500
2017/3/10,1252.132202,1254.460691,1244.370651,1250.385924,3703500
2017/3/13,1265.715088,1272.894547,1255.431055,1257.371443,3301500
2017/3/14,1258.535522,1265.714981,1256.013042,1265.714981,2056500
2017/3/15,1249.416016,1255.819273,1243.788842,1255.625163,3078500
2017/3/16,1245.147217,1249.610086,1240.296246,1245.535318,3097000
2017/3/17,1240.102051,1246.893409,1237.191468,1241.848448,2999500
2017/3/21,1226.519287,1240.102004,1225.937194,1239.908013,3829500
2017/3/22,1217.981567,1226.713313,1216.623272,1220.504048,5222500
2017/3/23,1218.369995,1220.310384,1201.682583,1214.68321,5229500
2017/3/24,1249.609741,1249.609741,1215.652955,1220.309933,5494500
2017/3/27,1228.071655,1246.117241,1225.743166,1243.982743,4997500
2017/3/28,1235.250977,1244.370824,1228.84772,1236.027179,8458000
2017/3/29,1252.769409,1252.769409,1227.075662,1237.976032,6042000
2017/3/30,1236.80835,1254.716086,1234.667125,1253.548232,3969500
2017/3/31,1242.452759,1272.623553,1242.452759,1246.735089,7061000
2017/4/3,1277.879395,1282.55105,1255.300004,1255.300004,7455000
2017/4/4,1264.643188,1274.959632,1252.964169,1273.207732,5526000
2017/4/5,1270.872314,1273.208024,1264.643479,1267.952559,3472500
2017/4/6,1259.387573,1275.738248,1258.803646,1270.482665,5008500
2017/4/7,1266.78418,1271.455835,1252.964055,1260.555346,3989500
2017/4/10,1256.662476,1271.26125,1254.521369,1266.784316,3978000
2017/4/11,1266.005737,1270.287949,1251.601566,1251.796169,4326500
2017/4/12,1262.307495,1263.280747,1251.796329,1253.742832,3643500
2017/4/13,1265.227051,1272.234415,1258.803614,1258.803614,4102000
2017/4/14,1247.319214,1262.307312,1245.567432,1255.494551,3416000
2017/4/17,1261.334106,1265.421716,1240.117173,1240.117173,2314000
2017/4/18,1262.696899,1268.53641,1259.38782,1265.811258,2529500
2017/4/19,1264.448486,1280.409837,1262.891307,1264.837811,3836500
2017/4/20,1266.78418,1270.677186,1253.742585,1263.864425,2805500
2017/4/21,1266.395142,1272.040049,1261.723604,1268.341645,2976000
2017/4/24,1284.108032,1291.894044,1275.932696,1275.932696,4060000
2017/4/25,1267.562866,1277.10066,1256.07845,1267.562866,7825500
2017/4/26,1266.979248,1268.536427,1259.971764,1265.227347,4133000
2017/4/27,1255.494751,1272.040031,1254.521499,1268.925673,4265000
2017/4/28,1245.762085,1267.757548,1226.88098,1267.173621,8856500
2017/5/1,1253.548096,1259.77693,1244.788831,1251.017665,3822000
2017/5/2,1270.872314,1281.967291,1259.387895,1259.387895,5446000
2017/5/8,1303.768066,1305.130643,1283.719103,1284.692355,7084000
2017/5/9,1312.137573,1313.889473,1302.210456,1303.183707,4872000
2017/5/10,1318.171997,1322.259606,1310.775309,1311.943163,4138000
2017/5/11,1329.851074,1337.442366,1320.702485,1320.702485,4735500
2017/5/12,1339.583618,1341.530121,1327.904598,1329.461777,4322000
2017/5/15,1348.926758,1352.235837,1339.194242,1339.388844,4135000
2017/5/16,1358.85376,1360.60566,1350.48382,1350.48382,4073000
2017/5/17,1370.532837,1372.284737,1351.45713,1358.853818,4485500
2017/5/18,1381.044067,1383.963822,1357.686028,1359.048604,6340500
2017/5/19,1377.540283,1387.272799,1373.257953,1382.017217,4551000
2017/5/22,1383.379883,1383.96381,1367.029208,1374.231294,3374500
2017/5/23,1399.730347,1403.42875,1381.433289,1382.211819,3949500
2017/5/24,1374.620605,1396.616068,1367.223917,1396.421465,6040500
2017/5/25,1391.360474,1395.058877,1378.124276,1378.124276,3603000
2017/5/26,1382.017334,1397.394757,1381.044082,1391.360526,3458500
2017/5/29,1392.13916,1397.200021,1381.044068,1382.017319,2276000
2017/5/30,1392.13916,1395.642842,1386.688975,1391.749836,2461000
2017/5/31,1392.528564,1398.952002,1387.07826,1392.13924,5713000
2017/6/1,1427.954712,1429.51201,1391.7498,1392.528448,5820500
2017/6/2,1443.72168,1443.72168,1430.874685,1431.653334,5278500
2017/6/5,1466.106323,1469.220681,1443.721535,1443.721535,5560500
2017/6/6,1473.50293,1487.907101,1466.106241,1466.300844,5104000
2017/6/7,1489.464111,1493.357117,1467.663254,1471.55626,5340000
2017/6/8,1482.846191,1505.814907,1480.510364,1494.914536,5952000
2017/6/9,1454.816772,1479.148066,1450.145117,1478.758742,7512500
2017/6/12,1465.522095,1467.273876,1442.553265,1447.614244,5319500
2017/6/13,1483.235596,1484.987496,1460.266879,1460.266879,4173000
2017/6/14,1490.632202,1495.49846,1484.403368,1488.88042,4217500
2017/6/15,1485.960571,1492.384008,1471.167076,1485.181922,5309500
2017/6/16,1491.215942,1504.646861,1487.712261,1489.074837,6012000
2017/6/19,1512.627808,1516.715536,1498.613078,1498.80768,3892500
2017/6/20,1506.982788,1518.272483,1505.036285,1517.104628,4358500
2017/6/21,1510.681274,1519.829864,1505.815016,1508.540168,3928500
2017/6/22,1517.688965,1521.776575,1510.486877,1514.379885,4292500
2017/6/23,1509.318726,1525.085355,1507.761428,1520.219097,5000500
2017/6/26,1506.593628,1515.15829,1504.647125,1506.982952,3182000
2017/6/27,1461.629517,1499.19701,1445.862767,1498.613083,11895500
2017/6/28,1461.824219,1472.140664,1444.111083,1445.862865,5669000
2017/6/29,1482.846191,1485.765946,1460.266801,1469.41539,3913500
2017/6/30,1480.899658,1481.09438,1466.690208,1470.972539,3860500
2017/7/3,1480.510132,1488.88019,1477.395775,1485.376389,2912500
2017/7/4,1471.751099,1483.62484,1466.690238,1481.483615,2866000
2017/7/5,1468.052734,1468.442059,1450.92353,1464.159728,3475500
2017/7/6,1473.308228,1477.979764,1458.125408,1462.018415,3020000
2017/7/7,1460.266846,1470.58329,1458.90427,1465.327707,2844500
2017/7/10,1462.018555,1465.327634,1453.454012,1457.736343,3404000
2017/7/11,1477.201416,1478.758595,1455.205833,1459.877489,3084500
2017/7/12,1464.743896,1486.350038,1462.60279,1479.342673,2768000
2017/7/13,1481.28894,1483.235444,1466.884769,1475.449431,2589500
2017/7/14,1490.04834,1491.410916,1479.926498,1481.289075,2480000
2017/7/17,1490.04834,1490.04834,1490.04834,1490.04834,0
2017/7/18,1484.598022,1493.941214,1480.121089,1486.739128,2848500
2017/7/19,1495.693237,1501.921953,1481.289065,1483.040965,2828000
2017/7/20,1515.352661,1518.66174,1499.780636,1502.311067,3352500
2017/7/21,1503.284424,1513.01694,1500.948596,1511.070437,2625000
2017/7/24,1493.552002,1498.807585,1484.403412,1494.719975,2449500
2017/7/25,1486.93396,1497.055682,1486.155311,1493.746722,1740500
2017/7/26,1521.386963,1523.333466,1500.559472,1504.452479,7055500
2017/7/27,1534.039063,1546.691333,1520.024335,1521.386792,5156000
2017/7/28,1526.447876,1534.428492,1522.165545,1533.649962,3385000
2017/7/31,1556.034668,1568.881541,1526.447796,1526.447796,6939000
2017/8/1,1560.122314,1560.900963,1540.851885,1542.214461,4102000
2017/8/2,1569.85498,1574.331914,1558.759887,1568.881729,3105000
2017/8/3,1568.881836,1570.049691,1560.706497,1562.263676,2701500
2017/8/4,1567.908447,1575.499858,1565.183295,1569.271023,2696000
2017/8/7,1553.504395,1570.828323,1550.779361,1569.855071,3087500
2017/8/8,1565.37793,1566.351181,1554.282837,1563.626029,2974500
2017/8/9,1559.927856,1570.438903,1555.061598,1559.538532,3371000
2017/8/10,1568.297485,1569.854664,1555.255892,1559.538222,2976000
2017/8/11,1568.297485,1568.297485,1568.297485,1568.297485,0
2017/8/14,1570.049561,1581.728581,1559.733117,1559.733117,4585500
2017/8/15,1573.358521,1585.816189,1567.324408,1574.526494,2935500
2017/8/16,1589.514404,1590.87698,1574.137101,1575.499677,3297000
2017/8/17,1585.232422,1595.548866,1579.392912,1592.239787,2630500
2017/8/18,1581.339233,1584.842915,1569.465493,1572.579969,3113500
2017/8/21,1560.511597,1584.064237,1558.175769,1581.533807,3034000
2017/8/22,1549.416626,1567.908407,1542.798467,1564.988652,4188000
2017/8/23,1566.935059,1571.217389,1558.565119,1559.343649,2680500
2017/8/24,1565.766968,1573.552979,1561.484638,1562.457889,2156000
2017/8/25,1559.149048,1568.686961,1557.981193,1566.740458,1980000
2017/8/28,1588.54126,1590.29316,1558.954505,1559.149108,3329000
2017/8/29,1600.998901,1603.529332,1576.667611,1576.667611,3643500
2017/8/30,1598.468506,1612.872559,1595.743354,1609.758201,3202500
2017/8/31,1607.617065,1615.597681,1597.495225,1602.94541,3154000
2017/9/1,1610.147461,1629.807096,1607.227706,1615.597646,2724500
2017/9/4,1602.750732,1614.818957,1591.850244,1608.006196,2299000
2017/9/5,1585.816162,1601.388188,1580.949904,1599.05236,3336500
2017/9/6,1597.300537,1600.998941,1571.606789,1576.66765,2649000
2017/9/7,1606.838257,1612.872369,1599.441569,1600.998748,2969500
2017/9/8,1622.02124,1625.33032,1606.25461,1607.811789,5204500
2017/9/11,1649.272095,1658.420683,1635.062645,1635.062645,4723500
2017/9/12,1668.542358,1672.240643,1651.413156,1654.722116,4120000
2017/9/13,1651.218506,1676.133721,1650.050652,1673.992615,3867500
2017/9/14,1662.897583,1675.939178,1658.226047,1658.615252,3379500
2017/9/15,1637.39856,1660.367274,1635.452056,1659.783347,5585000
2017/9/18,1637.39856,1637.39856,1637.39856,1637.39856,0
2017/9/19,1654.722168,1656.084744,1629.223026,1650.439956,3758500
2017/9/20,1650.050781,1655.890291,1644.795199,1650.440106,3413000
2017/9/21,1653.165161,1662.31375,1650.634731,1656.47424,2877000
