会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
長野銀行,8521,BBB,,安定的,NonSP,1110,100,9258856,10277330160,1749,668,34,0,1110812,295,390,2025,329,21899,13017,13017,1165410,54597,1,54158,Bank
名古屋銀行,8522,A,,安定的,NonSP,2467,100,18255487,45036286429,15536,2489,618,0,4659491,1607,1413,604481,4638,69050,25090,25090,4912750,253259,139,252500,Bank
北洋銀行,8524,A,,安定的,NonSP,234,100,399060179,93380081886,14708,7319,828,0,11417570,2013,6793,1166084,1816,135620,121101,121101,11858207,440636,84,435972,Bank
愛知銀行,8527,A,,安定的,NonSP,3210,100,10943240,35127800400,5966,1589,50,0,3541740,436,1618,34723,1810,53281,18000,18000,3788132,246391,302,241754,Bank
中京銀行,8530,A,-,ポジティブ,NonSP,1398,100,21745958,30400849284,3733,1412,185,0,1996311,1000,1080,71880,550,31446,31844,31844,2107003,110691,299,110392,Bank
大光銀行,8537,A,-,安定的,NonSP,1266,100,9671400,12243992400,2368,754,141,0,1629518,356,847,143439,665,22117,10000,10000,1709198,79679,228,79005,Bank
愛媛銀行,8541,A,-,ポジティブ,NonSP,751,100,39426777,29609509527,8121,1356,478,0,2612182,2591,1307,38895,450,43045,21365,21367,2767080,154897,0,153501,Bank
トマト銀行,8542,BBB,+,安定的,NonSP,1041,100,18679030,19444870230,2216,753,11,0,1249534,784,292,47318,530,22580,17810,17810,1301346,51811,0,51811,Bank
京葉銀行,8544,A,+,安定的,NonSP,418,100,138927858,58071844644,10866,3721,987,0,5254977,643,5867,366396,2018,62957,49759,49759,5553028,298051,312,292795,Bank
京葉銀行,8544,A,-,安定的,SP,418,100,138927858,58071844644,10866,3721,987,0,5254977,643,5867,366396,2018,62957,49759,49759,5553028,298051,312,292795,Bank
北日本銀行,8551,A,-,安定的,NonSP,1566,100,8793776,13771053216,2563,649,203,0,1591156,224,477,213670,297,22412,7761,7761,1665633,74476,152,74324,Bank
南日本銀行,8554,BBB,,安定的,NonSP,679,100,11096430,7534475970,2431,1422,63,0,819364,248,256,40361,122,15973,16601,16601,862512,43148,0,43129,Bank
東和銀行,8558,BBB,+,安定的,NonSP,493,100,44680273,22027374589,3946,1355,118,0,2416376,303,2560,178218,1248,36437,38653,38653,2551480,135103,265,134348,Bank
豊和銀行,8559,BBB,-,安定的,NonSP,616,100,11344190,6988021040,725,298,1,0,520053,758,23,16045,267,11619,12495,12495,539881,19828,0,19828,Bank
福島銀行,8562,BBB,,安定的,NonSP,235,100,28000000,6580000000,1692,626,0,0,796107,206,41,39072,374,13314,18682,18682,825751,29644,0,29519,Bank
大東銀行,8563,BBB,+,安定的,NonSP,613,100,12701462,7785996206,1544,888,48,0,922745,143,300,113437,181,13067,14743,14743,963505,40760,0,39912,Bank
リコーリース,8566,BBB,+,ネガティブ,SP,3445,100,31243223,1.07633E+11,17510,16913,0,0,969373,1400,6687,38930,14692,37701,181675,191333,1160706,191333,0,191333,General
リコーリース,8566,AA,-,安定的,J1,3445,100,31243223,1.07633E+11,17510,16913,0,0,969373,1400,6687,38930,14692,37701,181675,191333,1160706,191333,0,191333,General
イオンフィナンシャルサービス,8570,A,,安定的,J1,1345,100,216010128,2.90534E+11,39305,29579,0,0,5649053,1,18764,62282,4908,487309,459075,474667,6123721,474667,43,401462,General
アコム,8572,A,+,安定的,J1,449,100,1566614098,7.0341E+11,99297,3170,555,0,703981,15,13408,113179,1113,266316,442496,515128,1219109,515128,0,485685,General
ジャックス,8584,A,,安定的,J1,2541,100,35079161,89136148101,16275,9501,348,0,4310802,12892,6561,141114,0,160650,162889,174152,4484954,174152,244,169901,General
オリエントコーポレーション,8585,A,,安定的,J1,137,100,1738738203,2.38207E+11,21677,23909,28,0,5287114,8528,2075,54578,0,230596,251569,262105,5549220,262105,25,260086,General
オリックス,8591,AA,,安定的,NonSP,1912,100,1285724480,2.45831E+12,192384,315955,0,25518,10459938,1,0,1095676,0,757710,3065835,3103144,13563082,3103144,0,3028456,General
オリックス,8591,A,-,安定的,SP,1912,100,1285724480,2.45831E+12,192384,315955,0,25518,10459938,1,0,1095676,0,757710,3065835,3103144,13563082,3103144,0,3028456,General
三菱ＨＣキャピタル,8593,AA,,安定的,J1,596,100,1466912244,8.7428E+11,83217,144655,0,0,5188597,65803,22335,199314,2648,160581,798820,821233,6009831,821233,1552,806921,General
三菱HCキャピタル,8593,A,-,安定的,SP,596,100,1466912244,8.7428E+11,83217,144655,0,0,5188597,65803,22335,199314,2648,160581,798820,821233,6009831,821233,1552,806921,General
九州リースサービス,8596,BBB,,ポジティブ,NonSP,648,100,25952374,16817138352,2498,1314,1237,0,116490,672,1006,1267,17,6091,29741,32033,148523,32033,0,31886,General
トモニホールディングス,8600,A,,安定的,NonSP,298,100,163728911,48791215478,13820,1949,605,0,4164719,1685,1409,228257,3405,70687,25000,25000,4407903,243183,1224,239052,Bank
大和証券グループ本社,8601,BBB,+,安定的,SP,574,100,1699378772,9.75443E+11,144567,41169,9394,0,24507489,636,21888,390979,29329,576172,247397,247397,26099330,1591841,9125,1333571,Secc
大和証券グループ本社,8601,A,+,安定的,NonSP,574,100,1699378772,9.75443E+11,144567,41169,9394,0,24507489,636,21888,390979,29329,576172,247397,247397,26099330,1591841,9125,1333571,Secc
野村ホールディングス,8604,AA,-,安定的,NonSP,548,100,3233562601,1.77199E+12,153116,63846,0,21113,39760029,215363,0,665770,119875,1617235,594493,594493,42516480,2756451,0,2694938,Secc
野村ホールディングス,8604,A,-,安定的,SP,548,100,3233562601,1.77199E+12,153116,63846,0,21113,39760029,215363,0,665770,119875,1617235,594493,594493,42516480,2756451,0,2694938,Secc
岡三証券グループ,8609,BBB,+,ネガティブ,NonSP,398,100,208214969,82869557662,8174,3188,1810,0,593136,1194,1172,40941,805,67259,18589,18589,783440,190304,422,167934,Secc
東海東京フィナンシャル・ホールディングス,8616,BBB,+,安定的,J2,387,100,260582115,1.00845E+11,12827,3185,0,0,1243884,2321,1806,73074,311,69362,36000,36000,1416569,172684,442,165573,Secc
マネックスグループ,8698,BBB,+,安定的,NonSP,684,100,258998600,1.77155E+11,21296,8149,0,0,1310605,4211,850,57696,624,77905,10394,10394,1401130,90524,0,89573,Secc
フィデアホールディングス,8713,BBB,+,安定的,NonSP,121,100,206421226,24976968346,5314,1953,891,0,3101387,621,1087,469629,786,53191,18000,18000,3221460,120073,0,119780,Bank
アニコムホールディングス,8715,A,,安定的,NonSP,862,100,81309160,70088495920,2412,713,278,0,29741,8,882,4231,855,48049,7981,8202,55459,25717,0,25717,Insc
MS&ADインシュアランスグループホールディングス,8725,AA,,安定的,NonSP,3380,100,593632891,2.00648E+12,201727,72348,1949,0,21015905,14599,30609,323912,33696,4892244,100000,100276,24142562,3126657,1019,3084350,Insc
第一生命ホールディングス,8750,A,+,ポジティブ,NonSP,2012,100,1116939700,2.24728E+12,482540,69274,2552,0,58786576,33476,44500,79904,38166,7827806,343517,343732,63593705,4807129,920,4806209,Insc
東京海上ホールディングス,8766,AAA,,安定的,NonSP,5210,100,697500000,3.63398E+12,243174,80905,746,0,22042587,11455,101534,1177873,26224,5461195,150000,150000,25765368,3722780,2379,3664021,Insc
NECキャピタルソリューション,8793,A,-,ポジティブ,J1,2145,100,21533400,46189143000,6089,14697,0,0,943768,3811,1862,28765,765,25827,105248,113885,1057653,113885,0,95570,General
T&Dホールディングス,8795,AA,-,ポジティブ,NonSP,1398,100,633000000,8.84934E+11,191111,19841,2915,0,16324121,1553,26827,500485,11082,2413953,207111,207111,17877278,1553157,689,1545019,Insc
三井不動産,8801,AA,,安定的,J1,2553,100,965481947,2.46488E+12,191820,98196,39648,0,5085981,27779,79755,187862,0,397915,2486525,2655991,7741972,2655991,1422,2555886,General
