会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
IDEC,6652,BBB,+,安定的,NonSP,2180,100,33224485,72429377300,4251,2981,0,0,45140,166,1420,7443,3140,22783,42788,43111,88252,43111,148,42963,General
ジーエス・ユアサコーポレーション,6674,A,-,ポジティブ,J1,2795,100,82714942,2.31188E+11,24847,18031,2760,0,197342,818,7085,35817,19019,96566,205318,234570,431913,234570,0,202246,General
NEC,6701,BBB,,ポジティブ,SP,5540,100,272849863,1.51159E+12,157831,167613,4035,0,2106738,8527,24464,274907,59307,861183,1114523,1561826,3668564,1561826,0,1308151,General
NEC,6701,A,+,安定的,NonSP,5540,100,272849863,1.51159E+12,157831,167613,4035,0,2106738,8527,24464,274907,59307,861183,1114523,1561826,3668564,1561826,0,1308151,General
富士通,6702,A,-,安定的,SP,18565,100,207001821,3.84299E+12,291855,175828,0,0,1643301,3047,83789,307947,0,1080248,1348435,1546905,3190206,1546905,0,1450139,General
サンケン電気,6707,BBB,,安定的,NonSP,5170,100,25098060,1.29757E+11,7197,12683,18,0,120422,891,1350,7629,10175,39135,71776,113250,233673,113250,0,83576,General
ルネサスエレクトロニクス,6723,BBB,-,安定的,SP,1181,100,1932222590,2.28195E+12,65216,141527,2070,0,989324,7541,9932,223889,22261,335689,624404,619661,1608985,619661,15959,616701,General
パナソニックホールディングス,6752,A,-,安定的,SP,1306,100,2453866297,3.20475E+12,183894,317572,44280,0,4078571,20,75525,504038,231118,1974851,2155868,2768502,6847073,2768502,0,2594034,General
シャープ,6753,BB,+,ポジティブ,NonSP,1672,100,611952858,1.02319E+12,66442,71942,6417,0,1563087,5511,5820,204642,35656,421316,270959,364139,1927226,364139,297,350349,General
シャープ,6753,BB,-,安定的,SP,1672,100,611952858,1.02319E+12,66442,71942,6417,0,1563087,5511,5820,204642,35656,421316,270959,364139,1927226,364139,297,350349,General
ソニーグループ,6758,AA,-,ポジティブ,NonSP,11375,100,1261058781,1.43445E+13,1171776,663737,0,153427,20725185,12185,0,1350150,0,3926764,4789535,5621476,26354840,5621476,0,5575839,General
ソニーグループ,6758,A,,安定的,SP,11375,100,1261058781,1.43445E+13,1171776,663737,0,153427,20725185,12185,0,1350150,0,3926764,4789535,5621476,26354840,5621476,0,5575839,General
TDK,6762,A,-,安定的,SP,12440,100,129590659,1.61211E+12,79340,140285,7914,6222,1395136,3526,0,222814,0,434318,848564,1006297,2401433,1006297,0,1003538,General
タムラ製作所,6768,BBB,,安定的,NonSP,860,100,82771473,71183466780,2268,3491,0,0,42921,346,848,5049,3764,21220,46664,48143,91064,48143,162,47887,General
横河電機,6841,A,+,安定的,NonSP,1674,100,268624510,4.49677E+11,31524,16988,486,0,204310,566,8278,32842,8689,164169,291472,314770,519081,314770,0,308323,General
デンソー,6902,A,+,安定的,SP,7482,100,787944951,5.8954E+12,193753,335578,35,0,2690967,4510,62196,437235,395548,661486,3558869,4076717,6767684,4076717,0,3891012,General
カシオ計算機,6952,BBB,,安定的,SP,1777,100,259020914,4.6028E+11,17908,11076,161,0,120133,233,4629,24587,3620,98161,202539,211895,332028,211895,0,211895,General
ローム,6963,AA,-,安定的,NonSP,10620,100,103000000,1.09386E+12,40512,40167,807,0,156750,95,11219,45975,32377,117635,715479,769490,926240,769490,0,768972,General
日東電工,6988,AA,,安定的,NonSP,8100,100,149758428,1.21304E+12,93320,47950,6011,0,249214,769,24560,116309,0,243449,690204,716686,965901,716686,0,715868,General
日本ケミコン,6997,BBB,,安定的,NonSP,2526,100,20314833,51315268158,2256,6049,0,0,87543,727,528,2067,3213,21147,39781,51904,139448,51904,0,51607,General
三井E&Sホールディングス,7003,BB,+,ネガティブ,J3,509,100,83098717,42297246953,9664,12745,2381,0,670548,2786,418,7478,0,30867,105355,95901,766449,95901,151,67509,General
日立造船,7004,BBB,+,安定的,NonSP,788,100,170214843,1.34129E+11,6868,10241,4924,0,301169,738,3639,22680,10511,72815,119500,128167,429336,128167,0,126331,General
三菱重工業,7011,BBB,+,ネガティブ,SP,3144,100,337364781,1.06067E+12,49355,238258,0,0,3371337,10426,89102,-94948,0,583482,1290076,1439390,4810727,1439390,0,1366342,General
三菱重工業,7011,AA,-,安定的,J1,3144,100,337364781,1.06067E+12,49355,238258,0,0,3371337,10426,89102,94948,0,583482,1290076,1439390,4810727,1439390,0,1366342,General
川崎重工業,7012,A,,ネガティブ,NonSP,2278,100,167080532,3.80609E+11,14688,61258,15205,0,1480500,3790,11076,34601,0,191162,471562,482775,1963276,482775,0,465333,General
IHI,7013,A,-,安定的,J1,2516,100,154679954,3.89175E+11,27617,80185,0,0,1505164,4733,16381,36380,0,179974,306040,327727,1832891,327727,414,300769,General
名村造船所,7014,BB,+,安定的,NonSP,206,100,69099551,14234507506,18921,4170,8269,0,71204,264,300,26636,3779,98403,56048,40358,111562,40358,282,40076,General
じもとホールディングス,7161,BBB,,安定的,NonSP,637,100,49540263,31557147531,2609,1382,316,0,2547506,524,668,96884,1230,44089,17000,18750,2663931,116425,0,116206,Bank
東京きらぼしフィナンシャルグループ,7173,A,-,安定的,NonSP,1529,100,33400115,51068775835,8099,4820,0,0,5611065,1724,2714,232544,2342,93352,27500,27500,5921945,310880,30,310850,Bank
かんぽ生命保険,7181,AA,,安定的,NonSP,1938,100,562600000,1.09032E+12,233537,59387,0,0,67331506,2312,88635,2806302,3838,6786226,500000,500000,70172982,2841475,0,2841475,Insc
かんぽ生命保険,7181,A,,ポジティブ,SP,1938,100,562600000,1.09032E+12,233537,59387,0,0,67331506,2312,88635,-2806302,3838,6786226,500000,500000,70172982,2841475,0,2841475,Insc
ゆうちょ銀行,7182,A,,安定的,SP,930,100,4500000000,4.185E+12,392654,35033,1006,0,212475846,429823,100988,9431212,23064,1946728,3500000,3500000,223870673,11394827,0,11370088,Bank
富山第一銀行,7184,A,,安定的,NonSP,271,100,67309700,18240928700,3470,1105,73,0,1311129,598,864,21101,216,29475,10182,10182,1428623,117494,0,111629,Bank
コンコルディア・フィナンシャルグループ,7186,AA,,安定的,NonSP,392,100,1209616065,4.74169E+11,36315,13513,1872,0,20418298,7578,23058,2039109,10096,291729,150078,150078,21577398,1159099,51,1153154,Bank
西日本フィナンシャルホールディングス,7189,A,,ポジティブ,NonSP,616,100,159596955,98311724280,25898,5729,818,0,11524660,3318,9717,243056,3701,134949,50000,50000,12075567,550906,0,542792,Bank
アルヒ,7198,A,-,ポジティブ,J1,1383,100,36080600,49899469800,7745,1492,205,0,134668,707,2712,4750,0,26821,26634,30093,164762,30093,0,30093,General
日産自動車,7201,A,,ネガティブ,NonSP,631,100,4220715112,2.66327E+12,339334,708706,9109,0,12112242,181392,48494,1322789,0,1050825,4424773,4339826,16452068,4339826,0,3944593,General
日産自動車,7201,BBB,-,ネガティブ,SP,631,100,4220715112,2.66327E+12,-339334,708706,9109,0,12112242,181392,48494,1322789,0,1050825,4424773,4339826,16452068,4339826,0,3944593,General
いすゞ自動車,7202,A,+,安定的,J1,1450,100,777442069,1.12729E+12,86829,82354,13840,0,1039956,2859,30664,222918,0,303038,1133381,1205013,2244970,1205013,0,1021783,General
トヨタ自動車,7203,AAA,,安定的,NonSP,9805,100,3262997492,3.19937E+13,2282378,1644290,0,0,37978811,42421,810117,2727162,3489498,4832374,21339012,24288329,62267140,24288329,0,23404547,General
トヨタ自動車,7203,A,+,安定的,SP,9805,100,3262997492,3.19937E+13,2282378,1644290,0,0,37978811,42421,810117,2727162,3489498,4832374,21339012,24288329,62267140,24288329,0,23404547,General
三菱自動車工業,7211,BB,,安定的,SP,306,100,1490282496,4.56026E+11,-298289,65917,107747,0,1331027,5375,14096,-41537,79472,156454,788363,525251,1856279,525251,352,507906,General
フタバ産業,7241,BBB,+,安定的,NonSP,567,100,89580827,50792328909,7942,23772,20,0,202978,812,2198,22792,24654,29367,76488,87216,290194,87216,0,77642,General
太平洋工業,7250,A,-,安定的,NonSP,1325,100,61312896,81239587200,10253,14565,0,0,113023,365,659,26988,18421,21127,98422,112508,225531,112508,141,111715,General
アイシン,7259,A,,安定的,SP,4415,100,294674634,1.30099E+12,167523,253459,0,0,2268494,10752,41673,343314,200313,404532,1795695,1758609,4027103,1758609,0,1535512,General
マツダ,7261,A,-,安定的,NonSP,1072,100,631803979,6.77294E+11,2202,89765,1355,0,1721584,8034,24450,120058,71776,613644,1205846,1195830,2917414,1195830,382,1181730,General
ホンダ,7267,A,-,安定的,SP,3493,100,1811428430,6.32732E+12,914053,624239,0,0,12548191,13877,206272,1072379,318410,2730830,8286023,9372839,21921030,9372839,0,9082306,General
エクセディ,7278,A,+,安定的,NonSP,1653,100,48593736,80325445608,9066,18563,5090,0,96011,819,4508,30105,16665,40331,208709,216730,312741,216730,0,203927,General
愛三工業,7283,A,-,安定的,NonSP,953,100,63043379,60080340187,5023,11011,0,0,102144,264,1497,17761,0,20462,82769,87773,189918,87773,151,84207,General
ヨロズ,7294,BBB,,安定的,NonSP,1218,100,25055636,30517764648,4282,10246,4973,0,68984,572,1112,13218,6254,12237,74550,65738,134723,65738,617,53383,General
三十三フィナンシャルグループ,7322,A,-,安定的,NonSP,1425,100,30367585,43273808625,5430,3994,1056,0,4074354,1024,4295,269310,3383,76245,10000,10000,4312845,238491,0,238108,Bank
第四北越フィナンシャルグループ,7327,A,+,安定的,NonSP,2418,100,45942978,1.1109E+11,17721,6241,521,0,9252687,3470,5098,903597,4752,143132,30000,30000,9706533,453845,692,434674,Bank
ひろぎんホールディングス,7337,AA,-,安定的,NonSP,589,100,312370921,1.83986E+11,30934,4709,439,0,10492691,4794,8803,1486338,19977,115478,54573,60000,11009572,516880,126,516633,Bank
ノジマ,7419,A,-,安定的,J1,2839,100,51289616,1.45611E+11,63806,11953,889,0,195887,626,9751,41702,4034,158814,90268,144296,340183,144296,2265,142031,General
ハリマ共和物産,7444,BBB,,安定的,NonSP,1803,100,5441568,9811147104,1727,600,0,0,8295,1,550,1402,167,6626,18341,20139,28435,20139,0,20120,General
第一興商,7458,A,,ネガティブ,NonSP,3825,100,54734200,2.09358E+11,18604,15057,12606,0,80765,207,2007,7755,5797,26242,136205,106030,186795,106030,388,104259,General
岡谷鋼機,7485,A,,安定的,NonSP,9500,100,9720000,92340000000,18389,3489,6,0,255179,1290,5565,24135,6715,53324,219451,242041,497220,242041,0,231794,General
コーナン商事,7516,BBB,+,ポジティブ,NonSP,4445,100,34682113,1.54162E+11,26837,12517,2845,0,261808,2203,5565,35122,14426,175779,124080,133287,395095,133287,0,133287,General
ゼンショーホールディングス,7550,BBB,+,安定的,J2,2774,100,154862825,4.29589E+11,5437,24775,2260,0,310592,2225,4874,29686,20286,340578,86793,85430,396023,85430,0,85323,General
島津製作所,7701,AA,-,安定的,J1,4400,100,296070227,1.30271E+12,49817,15536,148,0,161954,180,10071,63801,0,156192,302775,335504,497459,335504,0,335504,General
ニコン,7731,A,+,安定的,J1,1013,100,378336521,3.83255E+11,45342,28027,26054,0,451011,1246,5821,4966,16965,155906,541760,538726,989737,538726,0,537585,General
オリンパス,7733,BBB,+,安定的,SP,2246,100,1299294333,2.91822E+12,24334,59937,842,0,785537,3992,26462,124122,38660,459530,371958,395480,1181017,395480,0,394326,General
SCREENホールディングス,7735,A,-,ポジティブ,NonSP,9850,100,50794866,5.00329E+11,20673,9628,2043,0,174083,498,685,57205,5390,88012,174142,208548,382632,208548,0,208381,General
リコー,7752,BBB,+,ネガティブ,SP,1191,100,744912078,8.8719E+11,-32664,104618,28666,0,964016,3043,18291,126962,42155,572307,1008527,923852,1887868,923852,0,920246,General
タカラトミー,7867,BBB,,ポジティブ,NonSP,960,100,96290850,92439216000,7462,6069,188,0,77686,255,2301,18064,4240,55256,67410,69928,147614,69928,393,69535,General
大建工業,7905,BBB,+,ポジティブ,J2,2214,100,27080043,59955215202,10970,5563,0,0,95781,262,3838,12254,3230,50881,62975,76771,172553,76771,0,68043,General
ヤマハ,7951,AA,-,安定的,NonSP,6030,100,191555025,1.15508E+12,37102,17056,3553,0,160667,516,10011,58225,0,142909,326450,396949,557616,396949,0,395958,General
リンテック,7966,A,+,安定的,J1,2382,100,76647540,1.82574E+11,16635,9361,171,0,82912,149,4659,28824,8997,58228,192298,197350,280262,197350,99,196848,General
タカラスタンダード,7981,A,+,安定的,NonSP,1589,100,73937194,1.17486E+11,10961,6046,131,0,83342,63,4529,7953,4777,70465,166741,175310,258652,175310,0,175310,General
ニフコ,7988,A,+,安定的,NonSP,3620,100,107508954,3.89182E+11,27123,13558,1417,0,128477,535,5706,39922,0,70858,168786,178649,307127,178649,0,176472,General
オカムラ,7994,A,,安定的,NonSP,1546,100,100621021,1.5556E+11,18007,6005,41,0,105697,163,4270,26921,4743,80113,135497,139776,245473,139776,0,138757,General
伊藤忠商事,8001,AA,+,安定的,J1,3232,100,1584889504,5.12236E+12,440883,424297,0,0,7308192,36218,144556,895900,165022,1780747,3840609,3870240,11178432,3870240,0,3316281,General
伊藤忠商事,8001,A,,安定的,SP,3232,100,1584889504,5.12236E+12,440883,424297,0,0,7308192,36218,144556,895900,165022,1780747,3840609,3870240,11178432,3870240,0,3316281,General
丸紅,8002,BBB,+,安定的,SP,926,100,1738475497,1.60983E+12,233068,144417,0,0,5027189,22947,34174,397069,124090,675418,1604600,1911769,6938958,1911769,0,1819055,General
丸紅,8002,AA,-,安定的,J1,926,100,1738475497,1.60983E+12,233068,144417,0,0,5027189,22947,34174,397069,124090,675418,1604600,1911769,6938958,1911769,0,1819055,General
スクロール,8005,BBB,,安定的,NonSP,860,100,34873050,29990823000,7406,1056,105,0,23255,29,637,3956,2978,31838,21462,26648,49903,26648,0,26648,General
豊田通商,8015,A,,安定的,SP,5140,100,354056516,1.81985E+12,221425,104349,1452,0,3569988,24706,65053,245055,124327,607626,1372491,1658015,5228004,1658015,0,1469657,General
兼松,8020,A,-,安定的,NonSP,1510,100,84500202,1.27595E+11,16251,11555,44,0,377003,1818,6149,36984,4413,101515,166174,180492,557495,180492,0,143926,General
三井物産,8031,A,,安定的,SP,2500,100,1687104808,4.21776E+12,350381,273639,0,0,7692958,51948,119483,772696,215690,811465,4060932,4822887,12515845,4822887,0,4570420,General
日本紙パルプ商事,8032,A,,安定的,J1,3675,100,15021551,55204199925,8215,7797,0,0,232114,1833,4892,28382,5092,63480,87246,89872,321986,89872,117,83451,General
東京エレクトロン,8035,AA,,ポジティブ,J1,44920,100,157210911,7.06191E+12,317038,33843,0,0,400801,1,87772,145888,53806,564945,829692,1024562,1425364,1024562,11585,1012977,General
スターゼン,8043,BBB,+,安定的,NonSP,2172,100,19522552,42402982944,8334,2765,80,0,72600,266,1633,11084,0,34361,52310,59125,131726,59125,0,59122,General
山善,8051,A,,安定的,NonSP,1029,100,95305435,98069292615,11294,2054,0,0,138307,1774,2104,13566,0,62672,95439,107630,245937,107630,0,107156,General
住友商事,8053,BBB,+,安定的,SP,1483,100,1251253867,1.85561E+12,-134484,170906,0,0,5384434,30679,65349,467097,66342,729461,2692587,2695550,8079984,2695550,0,2527951,General
三菱商事,8058,A,,安定的,SP,3062,100,1485723351,4.54928E+12,132241,523830,0,0,12096581,46300,114835,1017550,388981,1605106,6216894,6538390,18634971,6538390,0,5613647,General
第一実業,8059,BBB,+,ポジティブ,NonSP,4650,100,11086400,51551760000,6729,883,0,0,66113,38,2206,11141,268,21457,48446,53845,119958,53845,107,53712,General
神鋼商事,8075,BBB,-,安定的,J2,2958,100,8860562,26209542396,3076,1348,1024,0,229048,737,1437,14894,1549,26579,54571,57185,286233,57185,0,55745,General
阪和興業,8078,A,-,安定的,J1,3220,100,42332640,1.36311E+11,28839,5479,0,0,632733,3764,4656,19004,6332,79925,166097,191857,824590,191857,0,189215,General
菱電商事,8084,A,-,安定的,NonSP,1662,100,22824977,37935111774,3599,414,0,0,55609,23,1891,1939,98,21843,67557,69919,125529,69919,160,69759,General
ニプロ,8086,A,-,安定的,J1,1357,100,171459479,2.32671E+11,17519,39849,1437,0,680343,4003,4208,66093,0,138840,161237,174053,854396,174053,0,161026,General
岩谷産業,8088,A,,安定的,NonSP,6270,100,58561649,3.67182E+11,35009,20128,49,0,257667,911,9806,48779,25881,176878,191152,251851,509518,251851,0,242425,General
東邦ホールディングス,8129,A,-,ポジティブ,NonSP,1832,100,78270142,1.43391E+11,10273,6424,197,0,445775,79,6731,8768,4141,99372,231009,237405,683181,237405,162,237243,General
ミツウロコグループホールディングス,8131,A,-,安定的,NonSP,1254,100,62332388,78164814552,5291,2821,124,0,51900,192,3151,5340,1433,31954,78317,93289,145189,93289,0,92907,General
シナネンホールディングス,8132,A,-,安定的,J1,3040,100,13046591,39661636640,4725,2858,0,0,44929,121,2237,7947,0,33840,48821,51905,96834,51905,0,51202,General
伊藤忠エネクス,8133,AA,-,安定的,J1,1004,100,116881106,1.17349E+11,20039,19930,0,0,246928,1070,9930,40214,0,86889,151884,161399,408327,161399,0,136233,General
